zip,eiaid,name,state,svc_type,ownership,cmnrate,indrate,resrate
59313,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59349,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59219,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59248,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59327,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59258,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59339,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59218,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59330,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59215,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59347,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59242,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59326,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59226,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59212,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59247,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59201,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59341,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59262,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59333,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59259,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59301,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59270,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59344,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59243,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59312,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59315,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59217,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59353,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59324,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59345,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59274,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59338,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59336,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59221,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59225,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59213,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59254,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59255,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59354,12199,Montana-Dakota Utilities Co,MT,Bundled,Investor Owned,0.096012685,0.066549352,0.107608973
59424,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59433,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59025,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59866,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59008,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59859,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59858,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59483,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59872,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59230,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59427,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59727,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59015,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59848,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59638,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59715,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59521,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59758,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59601,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59046,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59870,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59323,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59468,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59531,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59745,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59453,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59747,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59462,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59762,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59248,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59070,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59843,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59465,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59327,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59732,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59036,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59759,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59701,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
59066,12825,NorthWestern Energy LLC - (MT),MT,Bundled,Investor Owned,0.116535834,0.092596964,0.120138112
